F20_1,F20_2,F20_3,F8_1,F8_2,F8_3,CM_1,CM_2,CM_3,Gene names,Localisation
0,0,0,27.33781624,27.27781677,27.38533211,0,0,0,DOS,M/S
0,0,0,27.78313065,27.38870239,27.60681915,0,0,0,DPP3,IC
0,0,0,32.48788452,32.1450386,32.22885895,0,0,0,DPP4,IC/M
0,0,0,31.17432594,28.57845116,28.01377106,27.53482437,27.17131042,26.17822456,DPYSL2,IC
0,0,0,28.53356171,27.14627647,26.97760201,27.69338608,27.24263573,0,DPYSL3,IC
0,0,0,26.42978668,26.91592979,27.10569572,0,0,0,DTNA;DTNB,IC/M
0,0,0,26.10259438,26.47852516,26.31330109,0,0,0,DUSP3,IC
0,0,0,25.82902718,26.00560379,26.65130043,0,0,0,DYNC1LI2,IC
0,0,0,31.08695602,29.70722771,29.85870934,0,0,0,ECE1,IC/M
33.24940491,31.96344185,33.16996002,28.45845985,29.95004654,28.31432152,32.29827499,30.68001366,32.49326324,ECM1,S
0,0,0,31.03091621,30.63356781,31.4449501,0,0,0,EDIL3,S
0,0,0,27.63927269,28.50407982,28.23054695,0,0,0,EEA1,IC
0,0,0,0,0,0,26.07361412,26.31039238,25.79718971,EFEMP1,IC/S
0,0,0,29.31127167,28.66671753,29.12664604,0,0,0,EFNB1,M
0,0,0,26.75951385,26.92569542,26.82905197,0,0,0,EFNB2,M
25.59536934,25.49390221,27.01435661,33.43452454,32.86503601,33.63774109,0,0,0,EGFR,IC/M/S
26.03808403,22.92925835,25.12075996,33.62309265,32.66828918,33.41147614,26.75837135,26.12831306,26.09287262,EHD1,IC
0,0,0,32.20853806,29.60510826,30.13369179,26.37805557,26.0464344,25.34793472,EHD2,IC
0,0,0,29.11805344,27.18942833,28.44813538,0,0,0,EHD3,IC
0,0,0,30.15013123,29.15298653,29.56432724,0,0,0,EHD4,IC
0,0,0,24.22633553,25.17668343,25.44950485,0,0,0,EIF2B3,IC
0,0,0,26.55218506,25.19027519,25.57787514,0,0,0,EIF5,IC
0,0,0,27.58541679,26.89017868,28.19901085,0,0,0,ELFN2,M
0,0,0,26.57276726,26.10781097,26.15555,0,0,0,ELMO2,IC
28.84846306,25.80931282,28.66648102,31.57646179,30.22181702,31.30986404,29.91897392,28.94622993,30.14430809,EMILIN1,IC/S
25.97460747,0,0,32.61585617,31.25169182,32.13307953,0,0,0,ENG,M
0,0,0,0,0,0,25.85647583,26.57457352,0,ENOPH1,IC
0,0,0,30.00048065,29.99307442,31.28664398,0,0,0,ENPP1,M
0,0,0,0,0,0,28.5697155,28.5135231,28.45430756,ENPP2,IC/M
0,0,0,26.55808067,26.85150528,27.81622696,0,0,0,ENSA,IC
0,0,0,26.85946465,26.84481621,27.04082489,0,0,0,EPB41L1,IC
0,0,0,27.1213932,26.08713531,25.95759392,0,0,0,EPB41L1,IC
0,0,0,31.28046227,30.19718361,30.66135979,0,0,0,EPB41L2,IC
0,0,0,26.59306145,26.44711113,26.57917023,0,0,0,EPB41L5,IC
0,27.64278793,28.32723045,32.65125656,32.78212738,33.34427261,0,0,0,EPHA2,M
0,0,0,28.63238907,27.51983261,27.88634682,0,0,0,EPHA4,IC/M/S
0,0,0,31.5130043,30.22089577,31.19530678,0,0,0,EPHB2,M/S
0,0,0,24.84665871,24.47784615,24.53284836,0,0,0,ERBB2,IC/M
0,0,0,27.48100662,27.63207817,26.02991676,0,0,0,EREG,M
0,0,0,26.18258667,27.59889221,26.17892647,0,0,0,ERP44,S
0,0,0,29.25561333,28.4985733,28.94723511,0,0,0,ESD,IC
28.39227104,0,26.10693359,32.22478104,31.13142586,32.00125504,31.06188202,30.64013481,30.84737396,ESR1,IC
0,0,0,26.7612915,26.92286301,26.64993095,0,0,0,ETF1,IC
0,0,0,27.16461372,27.53081131,27.47529602,0,0,0,ETHE1,IC
